,address,date,email,id,page,phone,title
0,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-07-28T16:30:00-07:00 to 2018-07-28T20:30:00-07:00,info@rockcomplex.com,1562545677205771,,+14145297676,Summer Concert Series - Alter Ego
1,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-09-08T17:00:00-07:00 to 2018-09-08T21:00:00-07:00,info@rockcomplex.com,174987263203934,,+14145297676,OCH at The Rock
2,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-08-18T16:30:00-07:00 to 2018-08-18T20:30:00-07:00,info@rockcomplex.com,2028335574087809,,+14145297676,Summer Concert Series - Road Crew
3,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-08-25T16:30:00-07:00 to 2018-08-25T20:30:00-07:00,info@rockcomplex.com,2157523204479155,,+14145297676,Summer Concert Series - Southbound
4,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-06-30T16:30:00-07:00 to 2018-06-30T20:30:00-07:00,info@rockcomplex.com,175240163182996,,+14145297676,Summer Concert Series - Totally Neon
5,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-06-16T16:30:00-07:00 to 2018-06-16T20:30:00-07:00,info@rockcomplex.com,124777488396740,,+14145297676,Summer Concert Series - King Solomon
6,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-07-21T16:30:00-07:00 to 2018-07-21T20:30:00-07:00,info@rockcomplex.com,197703467712391,,+14145297676,Summer Concert Series - The Toys
7,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-06-16T08:00:00-07:00 to 2018-06-16T12:00:00-07:00,info@rockcomplex.com,990633331088470,,+14145297676,SOLD OUT! Big Bash For Kids
8,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-06-23T16:30:00-07:00 to 2018-06-23T20:30:00-07:00,info@rockcomplex.com,255373671869326,,+14145297676,Summer Concert Series - Superfly
9,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-09-08T16:30:00-07:00 to 2018-09-08T20:30:00-07:00,info@rockcomplex.com,388096485007565,,+14145297676,Summer Concert Series - Oil Can Harry
10,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-08-11T16:30:00-07:00 to 2018-08-11T20:30:00-07:00,info@rockcomplex.com,1925343270834003,,+14145297676,Summer Concert Series - Failure to Launch
11,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-08-04T16:30:00-07:00 to 2018-08-04T20:30:00-07:00,info@rockcomplex.com,160281974822071,,+14145297676,Summer Concert Series - Detour
12,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-07-07T16:30:00-07:00 to 2018-07-07T20:30:00-07:00,info@rockcomplex.com,202361733822156,,+14145297676,Summer Concert Series - Katie Mack & The Moan
13,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-07-14T16:30:00-07:00 to 2018-07-14T20:30:00-07:00,info@rockcomplex.com,993160634205077,,+14145297676,Summer Concert Series - 5 Card Studs
14,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-09-22T16:30:00-07:00 to 2018-09-22T20:30:00-07:00,info@rockcomplex.com,197000187603630,,+14145297676,Summer Concert Series - Cherry Pie
15,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-09-15T16:30:00-07:00 to 2018-09-15T20:30:00-07:00,info@rockcomplex.com,1700106953398653,,+14145297676,Summer Concert Series - Chasin' Mason
16,"7900 Crystal Ridge Dr, Franklin, Wisconsin 53132",2018-09-01T16:30:00-07:00 to 2018-09-01T20:30:00-07:00,info@rockcomplex.com,154222962101858,,+14145297676,Summer Concert Series - Eddie Butts Band
0,,2018-06-24T11:30:00-07:00 to 2018-06-24T13:00:00-07:00,,1082443091896612,,,Andrew Chevy Car Show
1,,2018-07-27T17:30:00-07:00,,379160775926892,,,Detour @ Portofino Bay
2,"400 W Canal St, Milwaukee, Wisconsin 53203",2018-07-14T07:00:00-07:00 to 2018-07-14T14:00:00-07:00,,1447292358680699,,+18774368738,Wild Ones: Vintage Motorcycle Rally
3,,2018-07-15T12:00:00-07:00 to 2018-07-15T16:00:00-07:00,,522676421460492,,,Chasin' Mason at The Old Rock in Columbus
0,"1 John Nolen Dr, Madison, Wisconsin 53703",2018-06-20T08:00:00-07:00 to 2018-06-20T09:00:00-07:00,,2076264882635064,,+16082614000,Lakeside Kids! - Blue Willow Chinese Dance
1,"N5456 Division Rd, Glenbeulah, Wisconsin 53023",2018-06-23T11:00:00-07:00 to 2018-06-23T13:00:00-07:00,westwardho@suncommunities.com,260520914522016,,+18887350581,Board and Brush Event
2,"1 John Nolen Dr, Madison, Wisconsin 53703",2018-06-24T08:00:00-07:00 to 2018-06-24T14:00:00-07:00,,212245576236615,,+16082614000,Daylong Meditation Retreat
3,"E1171 CR-Q, Waupaca, Wisconsin 54981",2018-06-17T13:00:00-07:00 to 2018-06-17T16:00:00-07:00,management@indiancrossingcasino.com,609618759401291,,+17152583332,Party on the Porch wi/Erin & Jeff
4,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-07-02T12:00:00-07:00 to 2018-07-02T13:30:00-07:00,timberrattlersfacebook@gmail.com,345482799308781,,+19207334152,Milt Drier Kids Camp
5,"1 John Nolen Dr, Madison, Wisconsin 53703",2018-07-05T17:00:00-07:00 to 2018-07-05T19:00:00-07:00,,372299156589179,,+16082614000,Concerts on the Rooftop- SuperTuesday
6,"30802 Waterford Dr, Waterford, Wisconsin 53185",2018-09-10T10:00:00-07:00 to 2018-09-10T16:00:00-07:00,troy.rivermoor@gmail.com,278272442715411,,+12625342500,3rd annual Back the Badge Golf Outing and Dinner
7,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-08-18T16:35:00-07:00 to 2018-08-18T19:35:00-07:00,timberrattlersfacebook@gmail.com,178238106238519,,+19207334152,Fang's Birthday Party!
8,,2018-07-10T15:00:00-07:00 to 2018-07-10T17:00:00-07:00,,378634259316285,,,Westgate Park Community Meeting
9,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-07-22T11:05:00-07:00 to 2018-07-22T14:05:00-07:00,timberrattlersfacebook@gmail.com,2018481901807262,,+19207334152,Black Panther at the Ballpark
10,"640 S 84th St, Milwaukee, Wisconsin 53214",2018-06-20T16:00:00-07:00 to 2018-06-20T21:00:00-07:00,lhock@budpavilion.com,1873451359623322,,+14142667000,Almighty Vinyl LIVE at WNL
11,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-07-02T17:05:00-07:00 to 2018-07-02T20:05:00-07:00,timberrattlersfacebook@gmail.com,2023500001199837,,+19207334152,Dime Dogs & Wiener Dog Races
12,"E1171 CR-Q, Waupaca, Wisconsin 54981",2018-06-29T19:00:00-07:00 to 2018-06-29T23:00:00-07:00,management@indiancrossingcasino.com,392950974501732,,+17152583332,Cherry Pie Rocks the Indian Crossing Casino
13,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-07-06T17:05:00-07:00 to 2018-07-06T20:05:00-07:00,timberrattlersfacebook@gmail.com,771269026403922,,+19207334152,Margaritaville Night
14,"401 W Canal St, Milwaukee, Wisconsin 53203",2018-07-13T15:30:00-07:00 to 2018-07-13T17:30:00-07:00,bjoosten@levyrestaurants.com,766189776919642,,+14142872778,Friday Fish Fry & Craft Beer Sampling
15,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-08-18T06:00:00-07:00 to 2018-08-18T10:30:00-07:00,kchonos@timberrattlers.com,1653208131392426,,+19207334152,Timber Rattlers Blood Drive
16,"640 S 84th St, Milwaukee, Wisconsin 53214",2018-08-12T15:45:00-07:00 to 2018-08-12T19:45:00-07:00,,176044776417169,,+12625943220,Road Crew at State Fair Stage
17,"1295 White Pine, Eagle River, Wisconsin 54521",2018-07-14T17:00:00-07:00 to 2018-07-14T21:00:00-07:00,,417176738747549,,+17153372484,The Jerry Schmitt and the 100 mile Band
18,"400 W Canal St, Milwaukee, Wisconsin 53203",2018-06-28T15:00:00-07:00 to 2018-06-28T19:00:00-07:00,,201082357349402,,+18774368738,Rockabilly Bike Night | #HDMuseum
19,"1295 White Pine, Eagle River, Wisconsin 54521",2018-09-08T16:00:00-07:00 to 2018-09-09T00:00:00-07:00,,1827231384243822,,+17153372484,Rick & Jaime Are Getting Married
20,"Kiwanis Park, Sheboygan, Wisconsin 53081",2018-08-04T10:00:00-07:00 to 2018-08-04T10:30:00-07:00,shebjcs@gmail.com,2053435834932830,,+19208038980,Brat Eating Contest
21,"640 S 84th St, Milwaukee, Wisconsin 53214",2018-08-03T12:45:00-07:00 to 2018-08-03T16:45:00-07:00,,2176505205916177,,+12625943220,Gin Mill Dogs at Knucklehead StateFair
22,,2018-08-23T05:00:00-07:00 to 2018-08-29T19:00:00-07:00,,579288215746547,,,115th Anniversary Rides Home - Northeast
23,"640 S 84th St, Milwaukee, Wisconsin 53214",2018-08-02T16:45:00-07:00 to 2018-08-02T20:45:00-07:00,,2120366258209310,,+12625943220,Saddlebrook at State Fair Stage
24,"E1171 CR-Q, Waupaca, Wisconsin 54981",2018-08-04T17:00:00-07:00 to 2018-08-04T21:30:00-07:00,management@indiancrossingcasino.com,200406570714116,,+17152583332,Aaron Lewis w/ Chris Kroeze - SOLD OUT
25,"E1171 CR-Q, Waupaca, Wisconsin 54981",2018-07-03T17:00:00-07:00 to 2018-07-03T22:00:00-07:00,management@indiancrossingcasino.com,391441071341440,,+17152583332,Tribute to Prince - The Prince Experience feat Gabriel Sanchez
26,"1295 White Pine, Eagle River, Wisconsin 54521",2018-08-25T17:00:00-07:00 to 2018-08-25T21:00:00-07:00,,780421628830605,,+17153372484,Sounthbound
27,"640 S 84th St, Milwaukee, Wisconsin 53214",2018-08-05T12:00:00-07:00 to 2018-08-05T15:30:00-07:00,,181510032684912,,+12625943220,Sneezy at State Fair Stage
28,,2018-08-21T08:00:00-07:00 to 2018-08-29T22:00:00-07:00,,182507312340693,,,115th Anniversary Rides Home - Northwest
29,"401 W Canal St, Milwaukee, Wisconsin 53203",2018-06-22T15:30:00-07:00 to 2018-06-22T17:30:00-07:00,bjoosten@levyrestaurants.com,2037281626536322,,+14142872778,Friday Fish Fry & Craft Beer Sampling
30,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-07-01T11:05:00-07:00 to 2018-07-01T14:05:00-07:00,timberrattlersfacebook@gmail.com,147042932812843,,+19207334152,Brewers Sunday
31,"1 John Nolen Dr, Madison, Wisconsin 53703",2018-07-18T08:00:00-07:00 to 2018-07-18T09:00:00-07:00,,171556080189800,,+16082614000,Lakeside Kids! - Monkey Business Institute
32,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-08-23T17:05:00-07:00 to 2018-08-23T20:05:00-07:00,timberrattlersfacebook@gmail.com,157071548342767,,+19207334152,Fang Coin Bank & Live Music
33,"4398  Old Grand Ave, Gurnee, Illinois 60031",2018-07-31T08:30:00-07:00 to 2018-07-31T21:15:00-07:00,,229921441097864,,+18476237788,Sounds of Summer - Jeanie B. and the Jelly Beans
34,,2018-07-23T16:00:00-07:00 to 2018-07-23T18:00:00-07:00,,165369337616928,,,Neighborhood Nights
35,,2018-07-04T12:00:00-07:00 to 2018-07-04T20:00:00-07:00,info@downtowngreenbay.com,1614163198699348,,+19204375972,"ROCKERCHIX ROCK STAGE @ Fire Over The Fox - Green Bay, WI"
36,"105 Cedar Creek Rd, Slinger, Wisconsin 53086",2018-09-01T07:00:00-07:00 to 2018-09-01T12:00:00-07:00,switz@littleswitz.com,2086981071585076,,+12622979621,H-D 115 Hill Climb
37,"3565 N Morris Blvd, Shorewood, Wisconsin 53211",2018-07-11T17:00:00-07:00,hplmanager@wi.rr.com,168025263866143,,+14143324207,Detour @ Hubbard Lodge Summer Concert Series
38,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-07-12T15:00:00-07:00 to 2018-07-12T20:00:00-07:00,timberrattlersfacebook@gmail.com,1823628897938551,,+19207334152,Gin Blossoms w/ special guests Tonic & The Rembrandts
39,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-07-29T11:05:00-07:00 to 2018-07-29T14:05:00-07:00,timberrattlersfacebook@gmail.com,2002381936741995,,+19207334152,Brewers Sunday
40,,2018-06-29T16:30:00-07:00 to 2018-06-29T19:30:00-07:00,,643601189371823,,,Chasin Mason at Grillin in Grafton
41,"1700 N Lincoln Memorial Dr, Milwaukee, Wisconsin 53202",2018-09-16T09:30:00-07:00 to 2018-09-16T14:00:00-07:00,pam@milwaukeeyc.com,1896453960388179,,+14142714455,Yacht Blast For Kids 2018
42,"3223 N Pontiac Dr, Janesville, Wisconsin 53545",2018-06-17T07:00:00-07:00 to 2018-06-17T16:00:00-07:00,info@boardtrackerhd.com,226680574550751,,+16087570880,MDA Tub Run
43,"Kiwanis Park, Sheboygan, Wisconsin 53081",2018-08-04T07:00:00-07:00 to 2018-08-04T21:00:00-07:00,shebjcs@gmail.com,2035453910044529,,+19208038980,Brat Days Parade
44,,2018-06-16T19:30:00-07:00 to 2018-06-16T23:30:00-07:00,,151464072363902,,,DANZO acoustic rocks PHAT HEADZ
45,"1295 White Pine, Eagle River, Wisconsin 54521",2018-09-29T17:00:00-07:00 to 2018-09-29T21:00:00-07:00,,358228297999199,,+17153372484,Bad Habitz
46,"E1171 CR-Q, Waupaca, Wisconsin 54981",2018-06-30T19:30:00-07:00 to 2018-06-30T23:30:00-07:00,management@indiancrossingcasino.com,424026694709404,,+17152583332,Road Trip at the Indian Crossing Casino
47,"W67 N866 Washington Ave, Cedarburg, Wisconsin 53012",2018-08-01T13:00:00-07:00 to 2018-08-05T14:30:00-07:00,,205407890206880,,+12623756185,Ozaukee County Fair Line Up
48,"1295 White Pine, Eagle River, Wisconsin 54521",2018-07-21T17:00:00-07:00 to 2018-07-21T21:00:00-07:00,,187547931876920,,+17153372484,Koltrane
49,"2400 N Casaloma Dr, Appleton, Wisconsin 54913",2018-07-08T11:05:00-07:00 to 2018-07-08T14:05:00-07:00,timberrattlersfacebook@gmail.com,143786686314960,,+19207334152,Ryan Braun Military Appreciation Bobblehead
